dist_km,ele,grade_pct,asym_power,asym_speed,gordon_power,gordon_speed
176.388,553.2,0.7,199.4,32.4,174.1,31.1
176.406,553.0,-1.1,191.1,32.6,170.1,31.3
176.424,552.8,-1.1,183.4,33.4,166.3,32.1
176.452,552.6,-0.7,179.2,33.9,164.2,32.7
176.479,552.4,-0.7,174.9,34.4,162.0,33.2
176.564,552.4,0.0,180.3,34.1,164.2,33.0
176.592,552.0,-1.4,173.9,34.2,161.3,33.1
176.612,551.8,-1.0,167.4,35.0,158.1,33.9
176.632,551.6,-1.0,165.2,35.3,157.0,34.3
176.654,551.0,-2.8,152.3,36.1,151.5,35.2
176.676,550.4,-2.7,139.1,37.3,145.9,36.6
176.760,548.0,-2.8,115.2,39.3,136.5,39.0
176.785,547.8,-0.8,112.2,40.3,134.2,40.4
176.987,545.4,-1.2,130.8,38.8,139.1,39.0
177.010,545.2,-0.9,140.8,37.6,142.5,37.9
177.032,545.0,-0.9,143.5,37.3,143.5,37.6
177.066,544.6,-1.2,144.0,37.2,143.9,37.5
177.088,544.4,-0.9,145.6,37.1,144.6,37.4
177.111,544.2,-0.9,147.5,36.9,145.4,37.1
177.317,541.6,-1.3,143.5,37.1,144.3,37.3
177.340,541.4,-0.9,143.4,37.3,144.3,37.4
177.361,541.2,-0.9,145.4,37.1,145.0,37.2
177.383,541.0,-0.9,147.1,37.0,145.7,37.0
177.415,540.8,-0.6,151.2,36.7,147.3,36.7
177.620,540.2,-0.3,168.5,35.4,155.6,35.1
177.650,540.4,0.7,183.9,33.9,163.9,33.2
177.725,540.8,0.5,195.5,32.9,170.8,31.8
177.743,541.0,1.1,205.3,32.0,177.2,30.7
177.901,541.2,0.1,198.9,32.2,174.8,30.7
177.917,541.4,1.2,202.8,32.3,177.4,30.7
177.942,541.6,0.8,206.0,31.8,179.4,30.2
178.149,541.4,-0.1,193.3,32.4,172.4,30.9
178.175,541.2,-0.8,183.0,33.6,166.6,32.2
178.201,541.0,-0.8,177.6,34.1,163.8,32.8
178.227,540.8,-0.8,173.4,34.5,161.6,33.3
178.253,541.0,0.8,181.2,34.2,165.0,32.9
178.323,540.6,-0.6,178.2,34.0,163.4,32.9
178.340,540.4,-1.2,170.4,34.6,159.7,33.5
178.364,540.2,-0.8,168.3,35.0,158.6,33.9
178.389,540.0,-0.8,166.1,35.2,157.4,34.2
178.405,539.8,-1.2,162.2,35.4,155.5,34.5
178.421,539.6,-1.3,159.1,35.7,154.0,34.8
178.437,539.4,-1.3,156.4,36.0,152.7,35.2
178.453,539.2,-1.3,154.1,36.2,151.6,35.4
178.469,539.0,-1.2,152.3,36.4,150.7,35.7
178.485,538.8,-1.2,150.7,36.5,149.9,35.9
178.502,538.6,-1.2,149.5,36.7,149.2,36.1
178.533,538.8,0.6,162.9,35.9,154.4,35.3
178.549,538.6,-1.3,163.2,35.3,154.5,34.7
178.622,539.0,0.5,180.6,34.4,162.5,33.6
178.636,539.2,1.5,196.8,32.9,170.9,31.9
178.649,539.4,1.5,203.7,32.2,175.0,31.2
178.716,539.8,0.6,206.6,31.7,177.9,30.4
178.730,540.0,1.5,213.2,31.3,182.8,29.8
178.767,540.8,2.2,226.3,30.1,193.5,28.5
178.942,541.8,0.6,218.1,30.2,188.3,28.3
178.967,542.4,2.5,224.5,30.3,193.8,28.3
179.017,544.4,3.9,242.6,27.1,225.2,25.0
179.054,546.0,4.4,258.9,23.2,257.2,21.6
179.076,546.6,2.7,259.2,22.2,252.7,21.1
179.094,547.0,2.1,254.7,23.0,240.1,22.0
179.108,547.2,1.5,250.7,23.9,231.2,22.9
179.123,547.4,1.3,246.8,24.7,223.6,23.7
179.234,548.0,0.5,231.8,27.5,199.8,26.2
179.261,547.8,-0.7,211.9,30.7,183.1,29.0
179.280,547.6,-1.1,196.5,32.0,174.5,30.4
179.308,546.8,-2.8,173.4,33.9,162.7,32.4
179.327,546.2,-3.1,149.7,35.9,151.7,34.7
179.372,545.0,-2.7,133.9,37.7,144.8,36.8
179.405,544.0,-3.0,116.0,39.3,137.4,38.8
179.443,542.8,-3.2,101.9,40.6,131.9,40.4
179.465,542.0,-3.6,95.1,41.3,129.3,41.4
179.483,541.4,-3.4,87.1,42.0,126.5,42.3
179.503,540.8,-3.0,84.1,42.4,125.2,42.9
179.525,539.8,-4.5,74.2,43.1,122.3,43.7
179.576,536.8,-5.9,0.0,45.2,0.0,45.9
179.617,534.0,-6.8,0.0,48.2,0.0,48.7
179.647,531.8,-7.5,0.0,50.5,0.0,50.8
179.691,528.6,-7.2,0.0,51.8,0.0,52.0
179.719,526.8,-6.4,0.0,52.3,0.0,52.4
179.747,525.8,-3.6,22.5,51.7,104.6,51.8
179.774,525.2,-2.2,22.5,50.3,106.9,50.8
179.920,522.8,-1.6,53.7,46.2,115.4,47.4
179.948,522.8,0.0,98.5,41.8,125.0,43.7
180.008,522.4,-0.7,120.5,39.7,131.4,41.5
180.038,522.2,-0.7,134.4,38.3,136.3,39.8
180.067,522.0,-0.7,141.4,37.6,139.2,38.9
180.096,521.8,-0.7,146.4,37.1,141.6,38.2
180.123,521.6,-0.7,149.9,36.8,143.5,37.7
180.187,522.0,0.6,171.0,35.3,152.9,35.8
180.213,521.8,-0.8,177.2,34.1,157.2,34.2
180.278,521.2,-0.9,169.0,34.8,155.1,34.7
180.304,521.4,0.8,175.4,34.7,158.5,34.3
180.331,521.6,0.8,186.1,33.7,163.9,33.2
180.355,521.4,-0.8,183.1,33.6,163.2,32.9
180.427,521.8,0.6,192.4,33.2,168.8,32.3
180.451,522.0,0.8,201.8,32.2,174.7,31.0
180.543,522.6,0.7,207.8,31.6,179.6,30.2
180.574,523.4,2.6,225.5,30.3,193.4,28.5
180.594,524.0,3.0,233.3,28.5,205.9,26.6
180.624,524.4,1.3,233.9,28.0,207.0,26.0
180.644,524.4,0.0,229.5,28.7,199.2,26.7
180.742,525.0,0.6,222.0,30.0,190.9,28.0
180.764,525.2,0.9,218.7,30.6,188.9,28.6
180.816,524.8,-0.8,200.1,31.7,177.6,29.8
180.837,524.6,-1.0,186.4,33.2,169.8,31.5
180.859,524.4,-0.9,179.7,33.9,166.1,32.3
180.882,524.2,-0.9,174.7,34.4,163.2,32.9
180.904,524.0,-0.9,170.7,34.7,161.0,33.4
180.925,523.8,-1.0,167.3,35.1,159.0,33.8
180.965,524.0,0.5,177.7,34.6,163.3,33.4
180.983,524.6,3.3,205.2,32.8,177.4,31.6
180.999,525.2,3.7,225.6,30.8,190.6,29.3
181.023,526.0,3.3,232.9,28.8,203.5,27.1
181.045,527.0,4.6,244.4,26.4,226.1,24.6
181.060,527.6,4.1,252.4,24.5,242.6,22.7
181.074,528.2,4.2,256.9,23.4,251.7,21.8
181.104,528.8,2.0,252.7,23.5,238.7,22.2
181.119,529.0,1.3,247.5,24.6,226.7,23.3
181.142,528.8,-0.9,237.0,26.5,206.9,25.3
181.156,528.6,-1.4,226.4,28.8,190.4,27.5
